seqnames,start,end,width,strand,gene_id
chr2,161133908,161139907,6000,+,10010
chr19,24160426,24166425,6000,-,100101266
chr7,75483300,75489299,6000,-,100101267
chr18,35287246,35293245,6000,-,100101467
chr13,19341826,19347825,6000,-,100101938
chr5,140555253,140561252,6000,-,10011
chr9,33949851,33955850,6000,-,100113379
chr22,29330268,29336267,6000,-,100113380
chr3,52687744,52693743,6000,+,100113381
chr19,10106757,10112756,6000,+,100113382
chr5,9545836,9551835,6000,+,100113384
chr20,63950384,63956383,6000,+,100113386
chr14,45107883,45113882,6000,+,100113389
chr14,20323527,20329526,6000,-,100113391
chr2,202288332,202294331,6000,+,100113392
chr20,49277319,49283318,6000,+,100113393
chr16,70526509,70532508,6000,+,100113402
chr6,104938448,104944447,6000,-,100113403
chr9,13924971,13930970,6000,+,100113404
chr6,11534749,11540748,6000,+,100113407
chr15,101951885,101957884,6000,+,100124412
chr18,49486309,49492308,6000,-,100124516
chr9,92289594,92295593,6000,-,100124534
chr2,69517175,69523174,6000,-,100124535
chr17,67737669,67743668,6000,+,100124536
chr2,61414379,61420378,6000,-,100124537
chr9,117178201,117184200,6000,-,100124538
chr14,91123425,91129424,6000,+,100124539
chrX,47385649,47391648,6000,+,100124540
chr12,53971957,53977956,6000,-,100124700
chr19,10306881,10312880,6000,-,100125288
chr3,125913620,125919619,6000,+,100125556
chrX,147908818,147914817,6000,-,100126270
chr20,58815314,58821313,6000,-,100126296
chr14,101038363,101044362,6000,+,100126297
chr5,136077598,136083597,6000,-,100126299
chrX,134537263,134543262,6000,-,100126302
chrX,145991352,145997351,6000,-,100126303
chrX,145998132,146004131,6000,-,100126304
chrX,145991861,145997860,6000,-,100126306
chrX,145994275,146000274,6000,-,100126307
chr14,101061495,101067494,6000,+,100126308
chr8,99533862,99539861,6000,-,100126309
chr9,28860707,28866706,6000,-,100126310
chr15,45430050,45436049,6000,+,100126311
chr17,12078899,12084898,6000,+,100126313
chr6,30581332,30587331,6000,+,100126314
chr14,100872033,100878032,6000,+,100126315
chr9,28885956,28891955,6000,-,100126316
chrX,74215619,74221618,6000,-,100126317
chr22,21649981,21655980,6000,+,100126318
chr2,55997796,56003795,6000,-,100126319
chr12,24209421,24215420,6000,+,100126320
chr3,197671577,197677576,6000,-,100126321
chr18,39619176,39625175,6000,-,100126323
chrX,136547878,136553877,6000,+,100126324
chr19,53979307,53985306,6000,+,100126325
chr10,104045187,104051186,6000,-,100126326
chr10,29599347,29605346,6000,-,100126327
chr16,2268747,2274746,6000,+,100126328
chr20,63916449,63922448,6000,+,100126329
chr20,63916756,63922755,6000,+,100126330
chr1,117091643,117097642,6000,+,100126331
chr4,1983478,1989477,6000,-,100126332
chr11,79399110,79405109,6000,-,100126333
chr3,10391563,10397562,6000,-,100126334
chr14,101028987,101034986,6000,+,100126335
chr14,23415064,23421063,6000,-,100126336
chrX,147256727,147262726,6000,-,100126337
chr8,143810043,143816042,6000,-,100126338
chr3,189826922,189832921,6000,+,100126340
chrX,146024873,146030872,6000,-,100126341
chrX,145993744,145999743,6000,-,100126342
chr5,137644650,137650649,6000,-,100126343
chr14,101044901,101050900,6000,+,100126345
chr1,154190744,154196743,6000,-,100126346
chr5,15932182,15938181,6000,+,100126347
chr1,93843832,93849831,6000,+,100126348
chr1,166151799,166157798,6000,-,100126349
chr2,175164710,175170709,6000,-,100126350
chr4,110857648,110863647,6000,-,100126354
chr16,14306285,14312284,6000,+,100126355
chr17,31572411,31578410,6000,+,100126356
chr6,142130090,142136089,6000,+,100126572
chr21,43329040,43335039,6000,-,100126693
chr11,19709620,19715619,6000,-,100126784
chr3,4748591,4754590,6000,-,100126791
chr3,10282754,10288753,6000,+,100126793
chr5,129745094,129751093,6000,+,100127206
chr20,62663725,62669724,6000,-,100127888
chr7,43114896,43120895,6000,+,100127950
chr12,52598467,52604466,6000,+,100127967
chr8,90982239,90988238,6000,-,100127983
chr17,12787243,12793242,6000,-,100128006
chr3,193990986,193996985,6000,-,100128023
chr3,149655210,149661209,6000,+,100128025
chr10,94284479,94290478,6000,-,100128054
chr4,143511636,143517635,6000,-,100128055
chr5,170309717,170315716,6000,-,100128059
chr1,32361279,32367278,6000,-,100128071
chr9,92129398,92135397,6000,+,100128076
chr16,27715807,27721806,6000,-,100128079
chr7,28177322,28183321,6000,+,100128081
chr10,17383919,17389918,6000,+,100128098
chr15,101743871,101749870,6000,-,100128108
chr6,167973940,167979939,6000,-,100128124
chr8,73417004,73423003,6000,+,100128126
chr10,133084791,133090790,6000,-,100128127
chr19,22529626,22535625,6000,+,100128139
chr3,169963735,169969734,6000,-,100128164
chr6,148961685,148967684,6000,-,100128176
chr12,98513423,98519422,6000,-,100128191
chr14,65219444,65225443,6000,-,100128233
chr11,134029216,134035215,6000,+,100128239
chr19,56474567,56480566,6000,+,100128252
chr12,3363123,3369122,6000,-,100128253
chr3,195905076,195911075,6000,+,100128262
chr7,155069451,155075450,6000,-,100128264
chr15,75735624,75741623,6000,-,100128285
chr20,61716749,61722748,6000,-,100128310
chr7,81688407,81694406,6000,-,100128317
chr7,130138707,130144706,6000,+,100128325
chr6,116542685,116548684,6000,-,100128327
chr9,113108544,113114543,6000,-,100128385
chr11,100684956,100690955,6000,-,100128386
chr19,57999061,58005060,6000,+,100128398
chrX,136636539,136642538,6000,+,100128420
chr11,72011291,72017290,6000,+,100128494
chr20,18827154,18833153,6000,-,100128496
chr9,116501283,116507282,6000,+,100128505
chr10,21171014,21177013,6000,+,100128511
chr22,25109693,25115692,6000,-,100128531
chr1,207876097,207882096,6000,-,100128537
chr12,126435837,126441836,6000,+,100128554
chr17,10380132,10386131,6000,+,100128560
chr19,5975403,5981402,6000,+,100128568
chr19,3536154,3542153,6000,+,100128569
chr2,39783453,39789452,6000,+,100128590
chrX,103916549,103922548,6000,-,100128594
chr8,142992850,142998849,6000,+,100128627
chr3,38451821,38457820,6000,-,100128640
chr19,35103308,35109307,6000,-,100128675
chr19,35396511,35402510,6000,+,100128682
chrX,151174837,151180836,6000,-,100128688
chr15,25899119,25905118,6000,+,100128714
chr2,27068655,27074654,6000,-,100128731
chr8,30382402,30388401,6000,-,100128750
chr16,3029481,3035480,6000,+,100128770
chr9,95873050,95879049,6000,-,100128782
chr1,100637614,100643613,6000,-,100128787
chr16,2749601,2755600,6000,-,100128788
chr10,25173277,25179276,6000,-,100128811
chr7,152460786,152466785,6000,+,100128822
chr16,89708856,89714855,6000,+,100128881
chr16,88528054,88534053,6000,-,100128882
chr7,64609535,64615534,6000,+,100128885
chr8,7352360,7358359,6000,-,100128890
chr18,22166879,22172878,6000,-,100128893
chr2,174022280,174028279,6000,+,100128905
chr14,23101990,23107989,6000,-,100128908
chr14,104797596,104803595,6000,+,100128927
chr22,48863770,48869769,6000,+,100128946
chr5,138329105,138335104,6000,+,100128966
chr8,19256470,19262469,6000,-,100128993
chr21,45834988,45840987,6000,-,100129027
chr2,158732003,158738002,6000,-,100129029
chr1,93589199,93595198,6000,+,100129046
chr10,38161648,38167647,6000,+,100129055
chr3,50153086,50159085,6000,-,100129060
chr9,89636814,89642813,6000,+,100129066
chr14,55577889,55583888,6000,-,100129075
chr19,51412724,51418723,6000,+,100129083
chr6,73222771,73228770,6000,-,100129128
chr8,11344503,11350502,6000,-,100129129
chr1,104069983,104075982,6000,+,100129138
chr2,218999215,219005214,6000,+,100129175
chr6,28134294,28140293,6000,-,100129195
chr1,30715504,30721503,6000,+,100129196
chr11,95148699,95154698,6000,+,100129203
chr10,18007563,18013562,6000,-,100129213
chr11,71875453,71881452,6000,+,100129216
chr12,3489820,3495819,6000,-,100129223
chrX,146811727,146817726,6000,-,100129239
chr9,32548144,32554143,6000,+,100129250
chr1,111605724,111611723,6000,-,100129269
chr1,152716522,152722521,6000,+,100129271
chr2,21120917,21126916,6000,+,100129278
chrX,71663768,71669767,6000,-,100129291
chr3,112799478,112805477,6000,+,100129297
chr13,77659627,77665626,6000,-,100129307
chr14,97683659,97689658,6000,-,100129345
chr9,91115592,91121591,6000,+,100129347
chr3,47007824,47013823,6000,+,100129354
chr9,16407991,16413990,6000,-,100129385
chr15,50351959,50357958,6000,+,100129387
chr17,16785879,16791878,6000,+,100129396
chr1,155607243,155613242,6000,+,100129405
chrX,72935163,72941162,6000,+,100129407
chr7,50528759,50534758,6000,+,100129427
chr2,56182871,56188870,6000,-,100129434
chr7,32758788,32764787,6000,-,100129460
chr6,5000774,5006773,6000,+,100129461
chrX,3268544,3274543,6000,+,100129464
chr3,12558060,12564059,6000,-,100129480
chr10,42549823,42555822,6000,-,100129482
chr7,5425928,5431927,6000,-,100129484
chrX,135117527,135123526,6000,-,100129515
chr3,197503987,197509986,6000,-,100129516
chr6,159759333,159765332,6000,-,100129518
chr1,2349821,2355820,6000,-,100129534
chr15,78975889,78981888,6000,+,100129540
chr19,23072210,23078209,6000,+,100129543
chr3,122883941,122889940,6000,+,100129550
chr4,76211040,76217039,6000,+,100129583
chr13,48575089,48581088,6000,-,100129597
chr7,3171655,3177654,6000,-,100129603
chr1,99001276,99007275,6000,+,100129620
chr8,66959592,66965591,6000,-,100129654
chrX,138708452,138714451,6000,+,100129662
chr9,24542947,24548946,6000,-,100129669
chr16,88936789,88942788,6000,+,100129697
chr5,91377349,91383348,6000,+,100129716
chr9,137250498,137256497,6000,-,100129722
chr2,27011613,27017612,6000,-,100129724
chr2,43224210,43230209,6000,+,100129726
chr16,14298389,14304388,6000,+,100129781
chr5,42753818,42759817,6000,+,100129792
chr14,37168888,37174887,6000,+,100129794
chr19,34542396,34548395,6000,-,100129800
chr11,10538258,10544257,6000,+,100129827
chr13,110460288,110466287,6000,-,100129836
chr19,20562810,20568809,6000,-,100129842
chr7,100601207,100607206,6000,-,100129845
chr4,140370404,140376403,6000,-,100129858
chr18,49020703,49026702,6000,+,100129878
chr4,778860,784859,6000,-,100129917
chr1,42782007,42788006,6000,+,100129924
chr4,7043232,7049231,6000,-,100129931
chr19,39635685,39641684,6000,+,100129935
chr12,65879168,65885167,6000,-,100129940
chr2,134915711,134921710,6000,-,100129961
chr9,34892765,34898764,6000,-,100129969
chr15,52176999,52182998,6000,+,100129973
chr2,27712733,27718732,6000,-,100129995
chrX,48798377,48804376,6000,+,10013
chr16,90044774,90050773,6000,-,100130015
chr4,68179292,68185291,6000,+,100130017
chr12,68802480,68808479,6000,-,100130075
chrX,149592315,149598314,6000,-,100130086
chr15,29671990,29677989,6000,+,100130111
chr8,64370151,64376150,6000,+,100130155
chr5,138029774,138035773,6000,+,100130172
chr1,46671036,46677035,6000,+,100130197
chr3,3797876,3803875,6000,-,100130207
chr8,126289789,126295788,6000,-,100130231
chr12,132272391,132278390,6000,+,100130238
chr1,234757057,234763056,6000,-,100130249
chr20,19281597,19287596,6000,-,100130264
chr12,75231740,75237739,6000,+,100130268
chr6,10406340,10412339,6000,+,100130275
chr16,8845105,8851104,6000,+,100130283
chr8,60964776,60970775,6000,-,100130298
chr8,73256503,73262502,6000,-,100130301
chrX,24359761,24365760,6000,+,100130302
chr17,4896418,4902417,6000,+,100130311
chr1,237859175,237865174,6000,+,100130331
chr19,34642380,34648379,6000,+,100130342
chr11,65086376,65092375,6000,-,100130348
chr6,13292587,13298586,6000,-,100130357
chr17,81382465,81388464,6000,-,100130370
chr20,36152761,36158760,6000,-,100130373
chr1,916693,922692,6000,-,100130417
chr22,17033570,17039569,6000,+,100130418
chr2,240453715,240459714,6000,-,100130449
chr2,213281206,213287205,6000,-,100130451
chr11,10305313,10311312,6000,+,100130460
chr6,137865234,137871233,6000,-,100130476
chr18,6508416,6514415,6000,+,100130480
chr19,17445669,17451668,6000,-,100130519
chr17,74564344,74570343,6000,-,100130520
chr18,80144924,80150923,6000,+,100130522
chr10,44289569,44295568,6000,+,100130539
chr9,134051290,134057289,6000,+,100130548
chr1,40689067,40695066,6000,-,100130557
chr17,43386160,43392159,6000,-,100130581
chr20,63356988,63362987,6000,+,100130587
chrX,126816729,126822728,6000,+,100130613
chr7,32454759,32460758,6000,-,100130673
chr2,177389692,177395691,6000,-,100130691
chr16,35503568,35509567,6000,-,100130700
chr7,128863330,128869329,6000,+,100130705
chr22,17156384,17162383,6000,+,100130717
chr5,62558136,62564135,6000,+,100130733
chr8,91099619,91105618,6000,+,100130742
chr7,105597876,105603875,6000,-,100130771
chr12,57723271,57729270,6000,+,100130776
chr19,55542544,55548543,6000,-,100130827
chr7,56879147,56885146,6000,-,100130849
chr15,63598590,63604589,6000,-,100130855
chr4,1205963,1211962,6000,-,100130872
chr7,137950348,137956347,6000,+,100130880
chr10,121925312,121931311,6000,+,100130887
chr6,99517693,99523692,6000,+,100130890
chr16,70752035,70758034,6000,+,100130894
chr17,75643243,75649242,6000,+,100130933
chr20,46454086,46460085,6000,-,100130934
chrX,152730827,152736826,6000,+,100130935
chr17,5189027,5195026,6000,+,100130950
chr9,135571935,135577934,6000,+,100130954
chr16,77196408,77202407,6000,+,100130958
chr8,39519976,39525975,6000,+,100130964
chr6,158866848,158872847,6000,+,100130967
chr11,67314871,67320870,6000,+,100130987
chr7,50093036,50099035,6000,+,100130988
chr10,22249072,22255071,6000,+,100130992
chr7,6634318,6640317,6000,+,100131017
chr6,38950100,38956099,6000,-,100131047
chr1,58782128,58788127,6000,+,100131060
chr5,81298566,81304565,6000,-,100131067
chr15,40036242,40042241,6000,+,100131089
chr19,4676282,4682281,6000,+,100131094
chr17,78108800,78114799,6000,-,100131096
chr1,152077904,152083903,6000,-,100131107
chr3,114348771,114354770,6000,+,100131117
chr19,47989171,47995170,6000,-,100131137
chr12,110931590,110937589,6000,+,100131138
chr7,151406161,151412160,6000,+,100131176
chr1,161035978,161041977,6000,-,100131187
chr9,136805849,136811848,6000,-,100131193
chr1,212049007,212055006,6000,-,100131205
chr20,10365777,10371776,6000,-,100131208
chr2,190531723,190537722,6000,-,100131211
chr10,75398519,75404518,6000,+,100131213
chr1,198934472,198940471,6000,-,100131234
chr15,40279587,40285586,6000,-,100131244
chr7,7076743,7082742,6000,-,100131257
chr6,27756870,27762869,6000,+,100131289
chr16,68012912,68018911,6000,-,100131303
chr2,129977467,129983466,6000,-,100131320
chr17,39054019,39060018,6000,+,100131347
chr14,103186029,103192028,6000,-,100131366
chr11,33697802,33703801,6000,-,100131378
chr2,174331954,174337953,6000,+,100131390
chrX,149537960,149543959,6000,-,100131434
chr17,74589284,74595283,6000,-,100131439
chr17,749660,755659,6000,+,100131454
chr7,10699676,10705675,6000,+,100131472
chr20,47315502,47321501,6000,+,100131496
chr11,71818549,71824548,6000,-,100131539
chr3,194319872,194325871,6000,-,100131551
chr1,93343026,93349025,6000,-,100131564
chr2,162071857,162077856,6000,+,100131604
chr3,187699313,187705312,6000,+,100131635
chr18,76819296,76825295,6000,-,100131655
chr19,58556129,58562128,6000,+,100131691
chr8,123199744,123205743,6000,-,100131726
chr12,109050953,109056952,6000,-,100131733
chrX,101415287,101421286,6000,+,100131755
chr19,7626793,7632792,6000,+,100131801
chr6,135494422,135500421,6000,+,100131814
chrX,84931151,84937150,6000,+,100131816
chr1,159204974,159210973,6000,-,100131825
chr3,75782584,75788583,6000,-,100131827
chr5,169977496,169983495,6000,-,100131897
chr21,30286515,30292514,6000,-,100131902
chr9,67716179,67722178,6000,-,100131997
chr16,22434716,22440715,6000,-,100131998
chrX,124329660,124335659,6000,+,100132015
chr1,148399516,148405515,6000,+,100132057
chr9,94329459,94335458,6000,+,100132077
chr11,111415187,111421186,6000,-,100132078
chr15,22481841,22487840,6000,-,100132101
chr8,7952014,7958013,6000,+,100132103
chr1,151838877,151844876,6000,+,100132111
chr10,88929390,88935389,6000,+,100132116
chr3,46578150,46584149,6000,+,100132146
chr1,16532650,16538649,6000,-,100132147
chr10,5523247,5529246,6000,-,100132159
chrX,18887296,18893295,6000,+,100132163
chr16,19910,25909,6000,+,100132169
chr17,77725560,77731559,6000,-,100132174
chr2,63045641,63051640,6000,-,100132215
chr13,27950526,27956525,6000,+,100132234
chr9,62835303,62841302,6000,-,100132249
chr21,9126753,9132752,6000,-,100132288
chr16,31697590,31703589,6000,+,100132341
chr9,40989249,40995248,6000,+,100132352
chrX,49548278,49554277,6000,+,100132399
chr9,138214068,138220067,6000,+,100132403
chr1,146226001,146232000,6000,-,100132406
chr1,143871793,143877792,6000,+,100132417
chr4,183319427,183325426,6000,-,100132463
chr17,41081150,41087149,6000,+,100132476
chr18,55778723,55784722,6000,-,100132501
chr3,13930056,13936055,6000,+,100132526
chr16,71561952,71567951,6000,+,100132529
chr9,66023676,66029675,6000,-,100132541
chr12,95548582,95554581,6000,+,100132594
chrX,2749296,2755295,6000,+,100132596
chr14,97760990,97766989,6000,-,100132612
chr1,71045855,71051854,6000,+,100132618
chr3,49551367,49557366,6000,-,100132677
chr11,112257265,112263264,6000,+,100132686
chr7,154925460,154931459,6000,+,100132707
chr2,130677050,130683049,6000,+,100132708
chr15,50941663,50947662,6000,+,100132724
chr6,139674639,139680638,6000,+,100132735
chrX,71694196,71700195,6000,+,100132741
chr1,43705139,43711138,6000,-,100132774
chr8,109641115,109647114,6000,+,100132813
chr19,23271252,23277251,6000,-,100132815
chrX,40829563,40835562,6000,-,100132831
chr7,77036944,77042943,6000,+,100132832
chr8,71825167,71831166,6000,+,100132891
chr20,62842664,62848663,6000,+,100132911
chr5,64687442,64693441,6000,+,100132916
chr10,46366113,46372112,6000,+,100132929
chrY,6262596,6268595,6000,-,100132932
chr9,61851148,61857147,6000,+,100132948
chrX,154831663,154837662,6000,-,100132963
chr15,23154366,23160365,6000,+,100132979
chr10,78245601,78251600,6000,+,100132987
chr7,102745696,102751695,6000,-,100133005
chr5,100378399,100384398,6000,-,100133050
chrX,146806771,146812770,6000,+,100133053
chr9,137889571,137895570,6000,-,100133077
chrX,13330952,13336951,6000,+,100133123
chr11,136613,142612,6000,-,100133161
chr8,12359019,12365018,6000,+,100133172
chr9,112484205,112490204,6000,-,100133204
chr6,26953932,26959931,6000,+,100133205
chr15,85237472,85243471,6000,+,100133220
chr8,55452140,55458139,6000,-,100133234
chr21,36123641,36129640,6000,-,100133286
chr10,45151607,45157606,6000,-,100133308
chr7,27126977,27132976,6000,+,100133311
chr11,71925655,71931654,6000,-,100133315
chr17,69232013,69238012,6000,-,100133319
chr1,775627,781626,6000,-,100133331
chr4,3674856,3680855,6000,-,100133461
chr11,1986921,1992920,6000,-,100133545
chr1,3897352,3903351,6000,+,100133612
chr2,94584184,94590183,6000,-,100133920
chr6,106972628,106978627,6000,-,100133941
chrX,47655833,47661832,6000,+,100133957
chr2,70122318,70128317,6000,-,100133985
chr17,45244916,45250915,6000,+,100133991
chr20,3103913,3109912,6000,+,100134015
chr7,150030653,150036652,6000,+,100134040
chr7,140174184,140180183,6000,+,100134229
chr2,46824864,46830863,6000,+,100134259
chr19,36301564,36307563,6000,+,100134317
chr16,379097,385096,6000,+,100134368
chr17,73734854,73740853,6000,+,100134391
chr17,21689523,21695522,6000,+,100134444
chr7,140694078,140700077,6000,-,100134713
chr20,26015832,26021831,6000,+,100134868
chr17,75976240,75982239,6000,+,100134934
chr7,102639792,102645791,6000,-,100134938
chr15,41825092,41831091,6000,+,100137047
chr15,41833785,41839784,6000,+,100137049
chr17,44120703,44126702,6000,-,10014
chr17,78143353,78149352,6000,+,100141515
chr2,154454439,154460438,6000,-,100144595
chr20,63034029,63040028,6000,-,100144596
chr20,63035011,63041010,6000,+,100144597
chr4,65666961,65672960,6000,+,100144602
chr22,50580026,50586025,6000,+,100144603
chr15,92571530,92577529,6000,-,100144604
chr12,6940816,6946815,6000,+,100147744
chr1,165765929,165771928,6000,+,100147773
chr3,33795571,33801570,6000,+,10015
chr21,30617627,30623626,6000,+,100151643
chr2,121527881,121533880,6000,+,100151683
chr9,134161565,134167564,6000,-,100151684
chrX,20133386,20139385,6000,-,100158262
chr5,268621,274620,6000,+,10016
chr10,125571371,125577370,6000,+,100169752
chr1,228625267,228631266,6000,-,100169760
chr11,125785127,125791126,6000,+,100169851
chr19,56807122,56813121,6000,+,100169890
chr2,63116543,63122542,6000,-,100169989
chr15,52109776,52115775,6000,-,10017
chr19,43609088,43615087,6000,+,100170229
chr19,41440156,41446155,6000,+,100170765
chr3,160482774,160488773,6000,-,100174949
chr2,111116378,111122377,6000,+,10018
chr3,184238405,184244404,6000,+,100187716
chr16,2087285,2093284,6000,-,100188847
chr6,41784662,41790661,6000,+,100188893
chr13,30374146,30380145,6000,-,100188949
chr9,96024961,96030960,6000,-,100188953
chr10,99924010,99930009,6000,+,100188954
chr2,74382474,74388473,6000,+,100189589
chr12,111402948,111408947,6000,+,10019
chr17,42758258,42764257,6000,-,100190938
chr13,45338345,45344344,6000,+,100190939
chr12,130042058,130048057,6000,-,100190940
chr5,157668533,157674532,6000,+,100190949
chr1,151837558,151843557,6000,-,100191040
chr10,15152321,15158320,6000,-,100192204
chr8,76680309,76686308,6000,-,100192378
chr4,121761585,121767584,6000,+,100192379
chr20,63250978,63256977,6000,+,100192386
chr22,18026385,18032384,6000,+,100192420
chr18,8364035,8370034,6000,-,100192426
chr9,36274057,36280056,6000,-,10020
chr15,73365959,73371958,6000,-,10021
chr10,4675186,4681185,6000,-,100216001
chr2,130428364,130434363,6000,-,100216479
chr1,66798257,66804256,6000,-,10022
chr10,97316271,97322270,6000,+,10023
chr12,47213457,47219456,6000,-,100233209
chr12,49320236,49326235,6000,+,10024
chr7,56481387,56487386,6000,-,100240728
chr12,54078824,54084823,6000,-,100240735
chr1,77216431,77222430,6000,-,10026
chr5,172956393,172962392,6000,-,100268168
chr20,22051074,22057073,6000,+,100270679
chr8,127735988,127741987,6000,-,100270680
chr6,27017281,27023280,6000,-,100270746
chr20,18791529,18797528,6000,+,100270804
chr2,38886841,38892840,6000,+,100271715
chr22,46041854,46047853,6000,-,100271722
chr19,53041740,53047739,6000,+,100271846
chr19,19167290,19173289,6000,-,100271849
chr6,160004665,160010664,6000,-,100271873
chr7,29682193,29688192,6000,-,100271874
chr7,102639870,102645869,6000,-,100271927
chrX,155068137,155074136,6000,-,100272147
chrX,149935613,149941612,6000,+,100272228
chr12,49824913,49830912,6000,+,100286844
chr7,155379076,155385075,6000,+,100286906
chr2,233752346,233758345,6000,-,100286922
chr22,21935269,21941268,6000,+,100286925
chr9,77175181,77181180,6000,-,100286938
chr2,86858825,86864824,6000,+,100286979
chr8,6403549,6409548,6000,-,100287015
chr16,8555,14554,6000,+,100287029
chr16,89318133,89324132,6000,+,100287036
chr17,75268369,75274368,6000,+,100287042
chr4,9167409,9173408,6000,+,100287045
chr1,160258741,160264740,6000,+,100287049
chr17,20713481,20719480,6000,+,100287072
chr18,8704622,8710621,6000,-,100287082
chr8,144434675,144440674,6000,+,100287098
chr1,8869,14868,6000,+,100287102
chr13,19342049,19348048,6000,+,100287114
chr4,9207657,9213656,6000,+,100287144
chr9,70866,76865,6000,-,100287171
chr16,633817,639816,6000,+,100287175
chr19,45638494,45644493,6000,+,100287177
chr4,9212405,9218404,6000,+,100287178
chr4,9217152,9223151,6000,+,100287205
chr2,109125931,109131930,6000,-,100287216
chr18,51343275,51349274,6000,+,100287225
chr19,22283441,22289440,6000,+,100287226
chr4,9221896,9227895,6000,+,100287238
chr12,27768277,27774276,6000,-,100287284
chr12,30752167,30758166,6000,+,100287314
chr4,9240879,9246878,6000,+,100287327
chr3,46733430,46739429,6000,-,100287362
chr6,108120457,108126456,6000,+,100287366
chr4,9250378,9256377,6000,+,100287404
chr7,129499531,129505530,6000,+,100287482
chr1,223989743,223995742,6000,+,100287497
chr4,9264619,9270618,6000,+,100287513
chr11,59083307,59089306,6000,+,100287520
chr15,72779835,72785834,6000,+,100287559
chr12,116530422,116536421,6000,+,100287569
chr5,50967168,50973167,6000,-,100287592
chr9,9134,15133,6000,+,100287596
chr15,73925249,73931248,6000,-,100287616
chr6,118779848,118785847,6000,+,100287632
chr3,95680194,95686193,6000,-,100287639
chr7,63345899,63351898,6000,+,100287704
chr6,46743917,46749916,6000,+,100287718
chr1,113809379,113815378,6000,+,100287722
chrX,135056685,135062684,6000,+,100287728
