"","seqnames","start","end","width","strand","gene_id"
"110","chr2",61641513,61647512,6000,"-","100124537"
"111","chr9",119940481,119946480,6000,"-","100124538"
"112","chr14",91589770,91595769,6000,"+","100124539"
"113","chrX",47245049,47251048,6000,"+","100124540"
"114","chr12",54365741,54371740,6000,"-","100124700"
"115","chr19",10417234,10423233,6000,"-","100125288"
"116","chr3",125632444,125638443,6000,"+","100125556"
"117","chrX",147000677,147006676,6000,"-","100126270"
"118","chr20",57390369,57396368,6000,"-","100126296"
"119","chr14",101504700,101510699,6000,"+","100126297"
"120","chr5",135413287,135419286,6000,"-","100126299"
"121","chrX",133671293,133677292,6000,"-","100126302"
"122","chrX",145072870,145078869,6000,"-","100126303"
"123","chrX",145079650,145085649,6000,"-","100126304"
"124","chrX",145073379,145079378,6000,"-","100126306"
"125","chrX",145075793,145081792,6000,"-","100126307"
"126","chr14",101527832,101533831,6000,"+","100126308"
"127","chr8",100546090,100552089,6000,"-","100126309"
"128","chr9",28860705,28866704,6000,"-","100126310"
"129","chr15",45722248,45728247,6000,"+","100126311"
"130","chr17",11982216,11988215,6000,"+","100126313"
"131","chr14",101338370,101344369,6000,"+","100126315"
"132","chr9",28885954,28891953,6000,"-","100126316"
"133","chrX",73435454,73441453,6000,"-","100126317"
"134","chr22",22004270,22010269,6000,"+","100126318"
"135","chr2",56224931,56230930,6000,"-","100126319"
"136","chr12",24362355,24368354,6000,"+","100126320"
"137","chr3",197398448,197404447,6000,"-","100126321"
"138","chrX",135630037,135636036,6000,"+","100126324"
"139","chr19",54482561,54488560,6000,"+","100126325"
"140","chr10",105804945,105810944,6000,"-","100126326"
"141","chr10",29888276,29894275,6000,"-","100126327"
"142","chr16",2318748,2324747,6000,"+","100126328"
"143","chr20",62547778,62553777,6000,"+","100126329"
"144","chr1",117634265,117640264,6000,"+","100126331"
"145","chr4",1985205,1991204,6000,"-","100126332"
"146","chr11",79110154,79116153,6000,"-","100126333"
"147","chr3",10433247,10439246,6000,"-","100126334"
"148","chr14",101495324,101501323,6000,"+","100126335"
"149","chr14",23884273,23890272,6000,"-","100126336"
"150","chr8",144892213,144898212,6000,"-","100126338"
"151","chr3",189544711,189550710,6000,"+","100126340"
"152","chrX",145106391,145112390,6000,"-","100126341"
"153","chrX",145075262,145081261,6000,"-","100126342"
"154","chr5",136980339,136986338,6000,"-","100126343"
"155","chr14",101511238,101517237,6000,"+","100126345"
"156","chr1",154163220,154169219,6000,"-","100126346"
"157","chr1",94309388,94315387,6000,"+","100126348"
"158","chr1",166121036,166127035,6000,"-","100126349"
"159","chr2",176029438,176035437,6000,"-","100126350"
"160","chr8",145616446,145622445,6000,"-","100126351"
"161","chr20",62548085,62554084,6000,"+","100126352"
"162","chr16",14400142,14406141,6000,"+","100126355"
"163","chr17",29899430,29905429,6000,"+","100126356"
"164","chr19",49537277,49543276,6000,"+","100126780"
"165","chr19",51105220,51111219,6000,"+","100126781"
"166","chr11",19733219,19739218,6000,"-","100126784"
"167","chr3",4790275,4796274,6000,"-","100126791"
"168","chr3",10317905,10323904,6000,"+","100126793"
"169","chr19",48418686,48424685,6000,"+","100126798"
"170","chr19",48407935,48413934,6000,"+","100126800"
"171","chr5",129080884,129086883,6000,"+","100127206"
"172","chr20",61294974,61300973,6000,"-","100127888"
"173","chr10",97664722,97670721,6000,"+","100127889"
"174","chr8",91994486,92000485,6000,"-","100127983"
"175","chr3",193709028,193715027,6000,"-","100128023"
"176","chr3",149372997,149378996,6000,"+","100128025"
"177","chr10",96043828,96049827,6000,"-","100128054"
"178","chr1",32824845,32830844,6000,"-","100128071"
"179","chr9",94892116,94898115,6000,"+","100128076"
"180","chr7",28217076,28223075,6000,"+","100128081"
"181","chr10",17425935,17431934,6000,"+","100128098"
"182","chr6",168374620,168380619,6000,"-","100128124"
"183","chr8",74329309,74335308,6000,"+","100128126"
"184","chr3",169681523,169687522,6000,"-","100128164"
"185","chr6",149282821,149288820,6000,"-","100128176"
"186","chr12",98907005,98913004,6000,"-","100128191"
"187","chr11",133899167,133905166,6000,"+","100128239"
"188","chr19",56986243,56992242,6000,"+","100128252"
"189","chr7",154860268,154866267,6000,"-","100128264"
"190","chr15",76029419,76035418,6000,"-","100128285"
"191","chr17",8260860,8266859,6000,"-","100128288"
"192","chr10",79683570,79689569,6000,"+","100128292"
"193","chr6",116863774,116869773,6000,"-","100128327"
"194","chr8",144813310,144819309,6000,"+","100128338"
"195","chr9",95377332,95383331,6000,"+","100128361"
"196","chr3",52096129,52102128,6000,"-","100128378"
"197","chr9",115870958,115876957,6000,"-","100128385"
"198","chr19",58511262,58517261,6000,"+","100128398"
"199","chrX",135718702,135724701,6000,"+","100128420"
"200","chr20",18807840,18813839,6000,"-","100128496"
"201","chr9",119263562,119269561,6000,"+","100128505"
"202","chr10",21459919,21465918,6000,"+","100128511"
"203","chr22",25505660,25511659,6000,"-","100128531"
"204","chr12",126924027,126930026,6000,"+","100128554"
"205","chr19",5975414,5981413,6000,"+","100128568"
"206","chr19",3536155,3542154,6000,"+","100128569"
"207","chr19",7535248,7541247,6000,"-","100128573"
"208","chr2",40141774,40147773,6000,"+","100128590"
"209","chr9",139637613,139643612,6000,"+","100128593"
"210","chr8",144074245,144080244,6000,"+","100128627"
"211","chr3",38493312,38499311,6000,"-","100128640"
"212","chr19",35594209,35600208,6000,"-","100128675"
"213","chr19",35893509,35899508,6000,"+","100128682"
"214","chr15",26144507,26150506,6000,"+","100128714"
"215","chr2",27291568,27297567,6000,"-","100128731"
"216","chr8",30239918,30245917,6000,"-","100128750"
"217","chr16",3079482,3085481,6000,"+","100128770"
"218","chr9",98635260,98641259,6000,"-","100128782"
"219","chr1",101109561,101115560,6000,"-","100128787"
"220","chr16",2799602,2805601,6000,"-","100128788"
"221","chr10",25462206,25468205,6000,"-","100128811"
"222","chr7",152158209,152164208,6000,"+","100128822"
"223","chr16",89775264,89781263,6000,"+","100128881"
"224","chr7",64032073,64038072,6000,"+","100128885"
"225","chr8",7209877,7215876,6000,"-","100128890"
"226","chr18",19745930,19751929,6000,"-","100128893"
"227","chr14",105263933,105269932,6000,"+","100128927"
"228","chr22",49259582,49265581,6000,"+","100128946"
"229","chr8",19100033,19106032,6000,"-","100128993"
"230","chr21",47253334,47259333,6000,"-","100129027"
"231","chr9",127112752,127118751,6000,"+","100129034"
"232","chr1",94054525,94060524,6000,"+","100129046"
"233","chr10",38461599,38467598,6000,"+","100129055"
"234","chr9",92251698,92257697,6000,"+","100129066"
"235","chr14",56043811,56049810,6000,"-","100129075"
"236","chr19",51916160,51922159,6000,"+","100129083"
"237","chr6",73932176,73938175,6000,"-","100129128"
"238","chr1",104612645,104618644,6000,"+","100129138"
"239","chr7",139109273,139115272,6000,"-","100129148"
"240","chr2",219863937,219869936,6000,"+","100129175"
"241","chr6",28102095,28108094,6000,"-","100129195"
"242","chr1",31188619,31194618,6000,"+","100129196"
"243","chr10",18296492,18302491,6000,"-","100129213"
"244","chr11",71586499,71592498,6000,"+","100129216"
"245","chrX",145893250,145899249,6000,"-","100129239"
"246","chr9",32548142,32554141,6000,"+","100129250"
"247","chr1",112147941,112153940,6000,"-","100129269"
"248","chr1",152688998,152694997,6000,"+","100129271"
"249","chr9",93834415,93840414,6000,"-","100129316"
"250","chr14",98149996,98155995,6000,"-","100129345"
"251","chr3",47050032,47056031,6000,"+","100129354"
"252","chr12",11320780,11326779,6000,"+","100129361"
"253","chr9",16273312,16279311,6000,"-","100129385"
"254","chr15",50643371,50649370,6000,"+","100129387"
"255","chr17",16689057,16695056,6000,"+","100129396"
"256","chr1",155712559,155718558,6000,"+","100129405"
"257","chr7",102779851,102785850,6000,"-","100129424"
"258","chr7",50596457,50602456,6000,"+","100129427"
"259","chr7",32755781,32761780,6000,"-","100129460"
"260","chrX",3186861,3192860,6000,"+","100129464"
"261","chr3",12583964,12589963,6000,"-","100129480"
"262","chr10",43045281,43051280,6000,"-","100129482"
"263","chrX",134251406,134257405,6000,"-","100129515"
"264","chr6",160180365,160186364,6000,"-","100129518"
"265","chrX",124450969,124456968,6000,"+","100129520"
"266","chr1",2281101,2287100,6000,"-","100129534"
"267","chr19",23296777,23302776,6000,"+","100129543"
"268","chr3",122602360,122608359,6000,"+","100129550"
"269","chr4",77132193,77138192,6000,"+","100129583"
"270","chr13",49152038,49158037,6000,"-","100129597"
"271","chr16",81695959,81701958,6000,"+","100129617"
"272","chr1",99466832,99472831,6000,"+","100129620"
"273","chr8",67871826,67877825,6000,"-","100129654"
"274","chrX",137791269,137797268,6000,"+","100129662"
"275","chr9",24542675,24548674,6000,"-","100129669"
"276","chr5",90673164,90679163,6000,"+","100129716"
"277","chr9",140144950,140150949,6000,"-","100129722"
"278","chr2",43451350,43457349,6000,"+","100129726"
"279","chr5",42753920,42759919,6000,"+","100129792"
"280","chr14",37638231,37644230,6000,"+","100129794"
"281","chr11",10559783,10565782,6000,"+","100129827"
"282","chr19",20745627,20751626,6000,"-","100129842"
"283","chr7",100198662,100204661,6000,"-","100129845"
"284","chr4",141291547,141297546,6000,"-","100129858"
"285","chr4",772637,778636,6000,"-","100129917"
"286","chr1",43250661,43256660,6000,"+","100129924"
"287","chr4",7044959,7050958,6000,"-","100129931"
"288","chr19",40126325,40132324,6000,"+","100129935"
"289","chr2",135673177,135679176,6000,"-","100129961"
"290","chr15",52469223,52475222,6000,"+","100129973"
"291","chrX",48657287,48663286,6000,"+","10013"
"292","chr1",143684130,143690129,6000,"+","100130000"
"293","chr16",90111192,90117191,6000,"-","100130015"
"294","chr4",69045010,69051009,6000,"+","100130017"
"295","chr12",69196275,69202274,6000,"-","100130075"
"296","chr1",227913240,227919239,6000,"+","100130093"
"297","chr8",65282775,65288774,6000,"+","100130155"
"298","chr1",47136708,47142707,6000,"+","100130197"
"299","chr8",126960442,126966441,6000,"-","100130231"
"300","chr12",132848977,132854976,6000,"+","100130238"
"301","chr20",19262241,19268240,6000,"-","100130264"
"302","chr8",144787280,144793279,6000,"-","100130274"
"303","chr6",10409551,10415550,6000,"+","100130275"
"304","chr8",61877308,61883307,6000,"-","100130298"
"305","chr8",74168738,74174737,6000,"-","100130301"
"306","chrX",24377878,24383877,6000,"+","100130302"
"307","chr17",4799948,4805947,6000,"+","100130311"
"308","chr1",238022475,238028474,6000,"+","100130331"
"309","chr19",35133778,35139777,6000,"+","100130342"
"310","chr11",64853543,64859542,6000,"-","100130348"
"311","chr6",13292819,13298818,6000,"-","100130357"
"312","chr17",79356161,79362160,6000,"-","100130370"
"313","chr13",114451063,114457062,6000,"-","100130386"
"314","chr1",851818,857817,6000,"-","100130417"
"315","chr22",17514460,17520459,6000,"+","100130418"
"316","chr2",241393118,241399117,6000,"-","100130449"
"317","chr2",214145930,214151929,6000,"-","100130451"
"318","chr2",197574737,197580736,6000,"-","100130452"
"319","chr6",138186371,138192370,6000,"-","100130476"
"320","chr18",6508415,6514414,6000,"+","100130480"
"321","chr19",17556377,17562376,6000,"-","100130519"
"322","chr18",77902807,77908806,6000,"+","100130522"
"323","chr10",44785198,44791197,6000,"+","100130539"
"324","chr1",41154934,41160933,6000,"-","100130557"
"325","chr17",41463267,41469266,6000,"-","100130581"
"326","chrX",125950747,125956746,6000,"+","100130613"
"327","chr7",32495107,32501106,6000,"-","100130673"
"328","chr2",178254420,178260419,6000,"-","100130691"
"329","chr16",34737841,34743840,6000,"-","100130700"
"330","chr7",128503464,128509463,6000,"+","100130705"
"331","chr22",17637279,17643278,6000,"+","100130717"
"332","chr5",61871562,61877561,6000,"+","100130733"
"333","chr8",92111847,92117846,6000,"+","100130742"
"334","chr5",14709803,14715802,6000,"+","100130744"
"335","chr7",105218977,105224976,6000,"-","100130771"
"336","chr12",58117023,58123022,6000,"+","100130776"
"337","chr19",56053910,56059909,6000,"-","100130827"
"338","chr7",56946840,56952839,6000,"-","100130849"
"339","chr15",63890027,63896026,6000,"-","100130855"
"340","chr4",1199751,1205750,6000,"-","100130872"
"341","chr7",137635094,137641093,6000,"+","100130880"
"342","chr6",99965870,99971869,6000,"+","100130890"
"343","chr16",70785963,70791962,6000,"+","100130894"
"344","chr22",40425336,40431335,6000,"+","100130899"
"345","chr17",73639646,73645645,6000,"+","100130933"
"346","chr20",45083283,45089282,6000,"-","100130934"
"347","chrX",151900185,151906184,6000,"-","100130935"
"348","chr17",5092379,5098378,6000,"+","100130950"
"349","chr9",138463771,138469770,6000,"+","100130954"
"350","chr16",77230349,77236348,6000,"+","100130958"
"351","chr8",39417631,39423630,6000,"+","100130964"
"352","chr6",159306619,159312618,6000,"+","100130967"
"353","chr11",67082310,67088309,6000,"+","100130987"
"354","chr7",50132682,50138681,6000,"+","100130988"
"355","chr10",22538001,22544000,6000,"+","100130992"
"356","chr6",38917884,38923883,6000,"-","100131047"
"357","chr1",59247823,59253822,6000,"+","100131060"
"358","chr5",80594389,80600388,6000,"-","100131067"
"359","chr15",40328512,40334511,6000,"+","100131089"
"360","chr19",4676294,4682293,6000,"+","100131094"
"361","chr17",76104881,76110880,6000,"-","100131096"
"362","chr3",114067658,114073657,6000,"+","100131117"
"363","chr19",48492428,48498427,6000,"-","100131137"
"364","chr12",111371406,111377405,6000,"+","100131138"
"365","chr7",151103322,151109321,6000,"+","100131176"
"366","chr1",161005775,161011774,6000,"-","100131187"
"367","chr9",139700301,139706300,6000,"-","100131193"
"368","chr20",10197155,10203154,6000,"-","100131208"
"369","chr2",191396469,191402468,6000,"-","100131211"
"370","chr10",77158286,77164285,6000,"+","100131213"
"371","chr1",198903559,198909558,6000,"-","100131234"
"372","chr15",40571788,40577787,6000,"-","100131244"
"373","chr7",7133418,7139417,6000,"-","100131257"
"374","chr6",27726523,27732522,6000,"+","100131289"
"375","chr2",130735046,130741045,6000,"-","100131320"
"376","chr17",37210272,37216271,6000,"+","100131347"
"377","chr14",103652366,103658365,6000,"-","100131366"
"378","chr11",33719287,33725286,6000,"-","100131378"
"379","chr2",175196821,175202820,6000,"+","100131390"
"380","chrX",148619505,148625504,6000,"-","100131434"
"381","chr17",72585371,72591370,6000,"-","100131439"
"382","chr17",652573,658572,6000,"+","100131454"
"383","chr20",45944246,45950245,6000,"+","100131496"
"384","chr3",194027594,194033593,6000,"-","100131551"
"385","chr13",100000674,100006673,6000,"+","100131561"
"386","chr1",93808369,93814368,6000,"-","100131564"
"387","chr11",118286531,118292530,6000,"-","100131626"
"388","chr3",187417154,187423153,6000,"+","100131635"
"389","chr18",74531252,74537251,6000,"-","100131655"
"390","chr19",59067553,59073552,6000,"+","100131691"
"391","chr8",124211984,124217983,6000,"-","100131726"
"392","chr12",109488771,109494770,6000,"-","100131733"
"393","chrX",100737241,100743240,6000,"+","100131755"
"394","chr19",7691671,7697670,6000,"+","100131801"
"395","chr6",135815939,135821938,6000,"+","100131814"
"396","chrX",84186157,84192156,6000,"+","100131816"
"397","chr1",159169213,159175212,6000,"-","100131825"
"398","chr3",75831671,75837670,6000,"-","100131827"
"399","chr5",169404745,169410744,6000,"-","100131897"
"400","chr21",31658833,31664832,6000,"-","100131902"
"401","chr8",7217491,7223490,6000,"-","100131980"
"402","chr16",22446037,22452036,6000,"-","100131998"
"403","chr9",97091758,97097757,6000,"+","100132077"
"404","chr11",111285912,111291911,6000,"-","100132078"
"405","chr15",23387722,23393721,6000,"+","100132101"
"406","chr8",7809535,7815534,6000,"+","100132103"
"407","chr1",151807945,151813944,6000,"+","100132111"
"408","chr3",46650925,46656924,6000,"+","100132146"
"409","chrX",18905414,18911413,6000,"+","100132163"
"410","chr2",63272657,63278656,6000,"-","100132215"
"411","chr16",22500062,22506061,6000,"+","100132247"
"412","chr22",42483937,42489936,6000,"+","100132273"
"413","chr19_gl000209_random",112099,118098,6000,"+","100132285"
"414","chr21",9965594,9971593,6000,"-","100132288"
"415","chr16",31708934,31714933,6000,"+","100132341"
"416","chr9",68723541,68729540,6000,"+","100132352"
"417","chr6",43855765,43861764,6000,"+","100132354"
"418","chr5",43064074,43070073,6000,"-","100132356"
"419","chr17",39258641,39264640,6000,"+","100132386"
"420","chr8",7780859,7786858,6000,"+","100132396"
"421","chrX",49293769,49299768,6000,"+","100132399"
"422","chr9",141103637,141109636,6000,"+","100132403"
"423","chr1",145206111,145212110,6000,"+","100132406"
"424","chr1",149366294,149372293,6000,"+","100132417"
"425","chr4",184240580,184246579,6000,"-","100132463"
"426","chr11",1703860,1709859,6000,"-","100132464"
"427","chr17",39237459,39243458,6000,"+","100132476"
"428","chr3",13971553,13977552,6000,"+","100132526"
"429","chr12",96040031,96046030,6000,"+","100132594"
"430","chrY",2617337,2623336,6000,"+","100132596"
"431","chr1",71509189,71515188,6000,"+","100132618"
"432","chr3",49588800,49594799,6000,"-","100132677"
"433","chr7",154717227,154723226,6000,"+","100132707"
"434","chr2",131434623,131440622,6000,"+","100132708"
"435","chr15",51233326,51239325,6000,"+","100132724"
"436","chr6",140089210,140095209,6000,"+","100132735"
"437","chr1",44170013,44176012,6000,"-","100132774"
"438","chr9",99628182,99634181,6000,"+","100132781"
"439","chrX",40689450,40695449,6000,"-","100132831"
"440","chr7",76665797,76671796,6000,"+","100132832"
"441","chr8",72752358,72758357,6000,"+","100132891"
"442","chr20",61473476,61479475,6000,"+","100132911"
"443","chr5",63983135,63989134,6000,"+","100132916"
"444","chr8",11970291,11976290,6000,"+","100132923"
"445","chr9",44987236,44993235,6000,"+","100132948"
"446","chrX",154059938,154065937,6000,"-","100132963"
"447","chr15",22712729,22718728,6000,"-","100132979"
"448","chr10",80005382,80011381,6000,"+","100132987"
"449","chr5",99720959,99726958,6000,"-","100133050"
"450","chrX",145888302,145894301,6000,"+","100133053"
"451","chr7",76175658,76181657,6000,"+","100133091"
"452","chr9",67791190,67797189,6000,"-","100133121"
"453","chrX",13350360,13356359,6000,"+","100133123"
"454","chr15",82644286,82650285,6000,"+","100133144"
"455","chr11",136153,142152,6000,"-","100133161"
"456","chr8",12216528,12222527,6000,"+","100133172"
"457","chr6",26921772,26927771,6000,"+","100133205"
"458","chr8",56364882,56370881,6000,"-","100133234"
"459","chr21",37495939,37501938,6000,"-","100133286"
"460","chr10",45647045,45653044,6000,"-","100133308"
"461","chr7",27176983,27182982,6000,"+","100133311"
"462","chr11",71636494,71642493,6000,"-","100133315"
"463","chr1",2485451,2491450,6000,"-","100133445"
"464","chr4",3676583,3682582,6000,"-","100133461"
"465","chr11",2008151,2014150,6000,"-","100133545"
"466","chr1",3813968,3819967,6000,"+","100133612"
"467","chr8",144096808,144102807,6000,"-","100133669"
"468","chr9",69648361,69654360,6000,"+","100133920"
"469","chrY",21151706,21157705,6000,"-","100133941"
"470","chrX",47515232,47521231,6000,"+","100133957"
"471","chr2",70349449,70355448,6000,"-","100133985"
"472","chr17",43322303,43328302,6000,"+","100133991"
"473","chr20",3084557,3090556,6000,"+","100134015"
"474","chr7",139874061,139880060,6000,"+","100134229"
"475","chr2",47052003,47058002,6000,"+","100134259"
"476","chr19",36799245,36805244,6000,"+","100134317"
"477","chr16",429241,435240,6000,"+","100134368"
"478","chr7",140393878,140399877,6000,"-","100134713"
"479","chr20",25987435,25993434,6000,"+","100134868"
"480","chr15",82644286,82650285,6000,"+","100134869"
"481","chr15",42117283,42123282,6000,"+","100137047"
"482","chr15",42125979,42131978,6000,"+","100137049"
"483","chr17",42198015,42204014,6000,"-","10014"
"484","chr17",76139434,76145433,6000,"+","100141515"
"485","chr2",155310951,155316950,6000,"-","100144595"
"486","chr20",61665381,61671380,6000,"-","100144596"
"487","chr20",61666363,61672362,6000,"+","100144597"
"488","chr4",66532679,66538678,6000,"+","100144602"
"489","chr22",51018455,51024454,6000,"+","100144603"
"490","chr15",93112494,93118493,6000,"-","100144604"
"491","chr10",89620195,89626194,6000,"-","100144748"
"492","chr3",33837063,33843062,6000,"+","10015"
"493","chr21",31989946,31995945,6000,"+","100151643"
"494","chr2",122285456,122291455,6000,"+","100151683"
"495","chr9",137026687,137032686,6000,"-","100151684"
"496","chrX",20151532,20157531,6000,"-","100158262"
"497","chr5",268736,274735,6000,"+","10016"
"498","chr10",127259940,127265939,6000,"+","100169752"
"499","chr11",125655006,125661005,6000,"+","100169851"
"500","chr19",57320848,57326847,6000,"+","100169890"
"501","chr2",63343678,63349677,6000,"-","100169989"
"502","chr15",52401973,52407972,6000,"-","10017"
"503","chr19",50639495,50645494,6000,"-","100170217"
"504","chr19",48413308,48419307,6000,"+","100170218"
"505","chr19",48439798,48445797,6000,"+","100170219"
"506","chr19",47330962,47336961,6000,"-","100170220"
"507","chr2",78179153,78185152,6000,"-","100170221"
"508","chr3",190592719,190598718,6000,"+","100170222"
"509","chr19",48450553,48456552,6000,"+","100170226"
"510","chr19",50640578,50646577,6000,"-","100170227"
"511","chr19",49532045,49538044,6000,"-","100170228"
"512","chr19",44113253,44119252,6000,"+","100170229"
"513","chr19",41946063,41952062,6000,"+","100170765"
"514","chr17",36828188,36834187,6000,"-","100170841"
"515","chr2",111875491,111881490,6000,"+","10018"
"516","chr3",183956193,183962192,6000,"+","100187716"
"517","chr16",2137286,2143285,6000,"-","100188847"
"518","chr6",41751178,41757177,6000,"+","100188893"
"519","chr10",93368218,93374217,6000,"-","100188947"
"520","chr13",30945037,30951036,6000,"-","100188949"
"521","chr9",98781038,98787037,6000,"-","100188953"
"522","chr10",101683966,101689965,6000,"+","100188954"
"523","chr2",74609845,74615844,6000,"+","100189589"
"524","chr12",111840752,111846751,6000,"+","10019"
"525","chr17",40910276,40916275,6000,"-","100190938"
"526","chr13",45912480,45918479,6000,"+","100190939"
"527","chr12",130523888,130529887,6000,"-","100190940"
"528","chr5",157095561,157101560,6000,"+","100190949"
"529","chr16",21442777,21448776,6000,"-","100190986"
"530","chr1",151810034,151816033,6000,"-","100191040"
"531","chr10",15194347,15200346,6000,"-","100192204"
"532","chr8",77592511,77598510,6000,"-","100192378"
"533","chr4",122682740,122688739,6000,"+","100192379"
"534","chr20",61882330,61888329,6000,"+","100192386"
"535","chr22",18509151,18515150,6000,"+","100192420"
"536","chr18",8364033,8370032,6000,"-","100192426"
"537","chr20",59824482,59830481,6000,"+","1002"
"538","chr9",36274054,36280053,6000,"-","10020"
